goldcode-sv,pdp_url,image_no,image_url,link_status
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,9,https://cdn.hstatic.net/products/1000389255/6_2b1610c6d9e24472b18be8bd578cd7fa_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,10,https://cdn.hstatic.net/products/1000389255/4_bca2ef8901ca42adb3282e44d44af211_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,11,https://cdn.hstatic.net/products/1000389255/5_16387af52b364ac38464cf9717f1e593_1024x1024.jpg,Active
02063647-1,https://www.nguyenkim.com/quat-san-asiavina-turbo-max-vy646790-xam.html?srsltid=AfmBOopFZnQ1VYHAnr_Lr5fRGi2ZDt1UP03jTB__JIVW1xfYJ6CMJp1N,1,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/1158/Quạt_sàn_Asiavina_Turbo_Max_VY646790_Xám.jpg,Active
02063647-1,https://www.nguyenkim.com/quat-san-asiavina-turbo-max-vy646790-xam.html?srsltid=AfmBOopFZnQ1VYHAnr_Lr5fRGi2ZDt1UP03jTB__JIVW1xfYJ6CMJp1N,2,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/1158/Quạt_sàn_Asiavina_Turbo_Max_VY646790_Xám2.jpg,Active
02063647-1,https://www.nguyenkim.com/quat-san-asiavina-turbo-max-vy646790-xam.html?srsltid=AfmBOopFZnQ1VYHAnr_Lr5fRGi2ZDt1UP03jTB__JIVW1xfYJ6CMJp1N,3,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/1158/Quạt_sàn_Asiavina_Turbo_Max_VY646790_Xám3.jpg,Active
02063647-1,https://www.nguyenkim.com/quat-san-asiavina-turbo-max-vy646790-xam.html?srsltid=AfmBOopFZnQ1VYHAnr_Lr5fRGi2ZDt1UP03jTB__JIVW1xfYJ6CMJp1N,4,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/1158/Quạt_sàn_Asiavina_Turbo_Max_VY646790_Xám4.jpg,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,1,https://supor.com.vn/apps/uploads/2018/08/6-18.png,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,2,https://supor.com.vn/apps/uploads/2018/08/8-3.png,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,3,https://supor.com.vn/apps/uploads/2018/08/2-38.png,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,4,https://supor.com.vn/apps/uploads/2018/08/4-21.png,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,5,https://supor.com.vn/apps/uploads/2018/08/3-104.png,Active
00579116-1,https://supor.com.vn/noi-com-dien-tu-nieu/noi-com-dien-tu-e-spherical-supor-cfxb40fc33vn-75/,6,https://supor.com.vn/apps/uploads/2018/08/7.jpg,Active
